standard_name,units,long_name,out_name
sea_ice_area,1e6 km2,Sea-Ice Area North,siarean
sea_ice_area,1e6 km2,Sea-Ice Area South,siareas
sea_ice_transport_across_line,kg s-1,Sea Mass Area Flux Through Straits,simassacrossline
sea_ice_area_transport_across_line,m2 s-1,Sea-Ice Area Flux Through Straits,siareaacrossline
snow_transport_across_line_due_to_sea_ice_dynamics,kg s-1,Snow Mass Flux Through Straits,snmassacrossline
relative_humidity,%,Daily Minimum Near-Surface Relative Humidity,hursmin
relative_humidity,%,Daily Maximum Near-Surface Relative Humidity,hursmax
cell_area,m2,Grid-Cell Area for Atmospheric Grid Variables,areacella
cell_area,m2,Grid-Cell Area for River Model Variables,areacellr
land_area_fraction,%,Percentage of the Grid Cell Occupied by Land (Including Lakes),sftlf
soil_moisture_content_at_field_capacity,kg m-2,Capacity of Soil to Store Water (Field Capacity),mrsofc
root_depth,m,Maximum Root Depth,rootd
